"Model","Threshold","Precision","Recall","F1"
"Logit w (t=0.50)",0.5,0.777357546963398,0.546689527829069,0.641930696263793
"Logit w (t* = 0.58)",0.58,0.708529990935517,0.595664170279858,0.647213339424395
